Data_Pool,Data_Connection,Table,Size(B),Last_Updated
SAP ECC - PP ABeam Template v1,ABeam Cloud R2M,USR02,63293.44,2020-11-08 00:38:00
Table Push Test - Kogiso,Dummy Connection,Test_2,2529.28,2020-11-08 00:38:00
Table Push Test - Kogiso,Dummy Connection,Test_1,2529.28,2020-11-08 00:38:00
SFDC - Lead ABeam Template v1,ABeam SFDC Development,Task,2498.56,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v1,ABeam Cloud R2M,TVTWT,1730.56,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v2,ABeam Cloud R2M,TVTWT,1730.56,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R2Q,TVTWT,1730.56,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R8D,TVTWT,1730.56,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v1,ABeam Cloud R2M,TVSTT,29859.84,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R2Q,TVSTT,44400.64,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v2,ABeam Cloud R2M,TVSTT,44400.64,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R8D,TVSTT,44134.4,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v1,ABeam Cloud R2M,TVSBT,1085.44,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R2Q,TVSBT,1085.44,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R8D,TVSBT,1054.72,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v2,ABeam Cloud R2M,TVSBT,1085.44,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R8D,TVRO,555.0,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R2Q,TVRO,568.0,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v1,ABeam Cloud R2M,TVRO,568.0,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v2,ABeam Cloud R2M,TVRO,555.0,2020-11-08 00:38:00
